ServiceID,CarID,Date_of_Service,ServiceType,Cost_of_Service
S31611,C10476,30/01/2024,Major Service,366.0
S31612,C10476,14/12/2023,Brake Replacement,487.0
S31617,C10478,13/09/2024,Major Service,193.0
S31628,C10481,13/09/2024,Transmission Check,263.0
S31679,C10497,29/12/2020,Spark Plug Replacement,126.0
S31680,C10497,29/04/2021,Major Service,302.0
S31711,C10507,15/04/2023,Oil Change,127.0
S31712,C10507,23/08/2021,Air Filter Replacement,496.0
S31714,C10509,19/09/2022,Air Filter Replacement,497.0
S31715,C10509,13/03/2021,Coolant Flush,297.0
S31749,C10521,06/07/2021,Spark Plug Replacement,490.0
S31752,C10523,04/02/2024,Tire Replacement,186.0
S31755,C10523,24/10/2022,Wheel Alignment,421.0
S31776,C10531,26/09/2022,Major Service,376.0
S31777,C10531,28/06/2025,Clutch Replacement,131.0
S31779,C10531,07/05/2025,Tire Replacement,483.0
S31784,C10534,24/09/2023,Clutch Replacement,474.0
S31786,C10534,31/10/2022,Brake Replacement,261.0
S31794,C10537,03/10/2020,Oil Change,388.0
S31795,C10537,04/03/2024,Spark Plug Replacement,423.0
S31800,C10539,01/05/2021,Spark Plug Replacement,129.0
S31802,C10539,02/09/2023,Brake Replacement,137.0
S31804,C10540,09/03/2022,Coolant Flush,384.0
S31811,C10545,15/04/2021,Suspension Check,348.0
S31813,C10545,12/02/2022,Battery Replacement,53.0
S31815,C10545,06/05/2022,Clutch Replacement,461.0
S31840,C10553,20/11/2022,Battery Replacement,136.0
S31841,C10553,16/10/2023,Tire Replacement,262.0
S31880,C10566,07/04/2024,Air Filter Replacement,466.0
S31902,C10572,03/01/2024,Major Service,415.0
S31903,C10572,29/11/2022,Air Filter Replacement,298.0
S31918,C10578,10/08/2025,Wheel Alignment,188.0
S31942,C10584,03/06/2022,Coolant Flush,121.0
S31966,C10592,04/01/2023,Suspension Check,113.0
S31967,C10592,29/12/2022,Brake Replacement,395.0
S31968,C10593,22/11/2020,Tire Replacement,421.0
S31969,C10594,07/06/2022,Tire Replacement,118.0
S31970,C10594,02/07/2022,Clutch Replacement,477.0
S31972,C10594,11/02/2022,Clutch Replacement,271.0
S31989,C10599,07/12/2021,Air Filter Replacement,110.0
S31990,C10599,26/12/2022,Oil Change,447.0
S31991,C10599,16/04/2025,Air Filter Replacement,212.0
S31997,C10601,29/12/2024,Wheel Alignment,54.0
S32012,C10605,04/03/2023,Brake Replacement,290.0
S32013,C10605,09/07/2023,Tire Replacement,436.0
S32014,C10605,23/02/2023,Suspension Check,330.0
S32030,C10611,28/10/2022,Clutch Replacement,374.0
S32033,C10611,23/01/2021,Brake Replacement,75.0
S32038,C10614,04/12/2023,Clutch Replacement,60.0
S32084,C10629,14/03/2022,Air Filter Replacement,149.0
S32085,C10629,19/12/2020,Air Filter Replacement,121.0
S32086,C10630,26/05/2023,Spark Plug Replacement,426.0
S32092,C10633,23/02/2021,Tire Replacement,466.0
S32093,C10633,03/08/2021,Air Filter Replacement,465.0
S32094,C10633,04/04/2021,Suspension Check,338.0
S32111,C10640,13/10/2023,Major Service,305.0
S32129,C10645,03/08/2025,Oil Change,192.0
S32130,C10645,13/09/2023,Spark Plug Replacement,387.0
S32131,C10645,16/04/2025,Transmission Check,262.0
S32137,C10647,31/01/2021,Oil Change,96.0
S32142,C10649,19/10/2020,Major Service,327.0
S32144,C10650,09/07/2023,Brake Replacement,438.0
S32145,C10650,01/11/2024,Brake Replacement,369.0
S32163,C10658,08/06/2022,Major Service,313.0
S32174,C10661,14/06/2024,Suspension Check,215.0
S32191,C10666,10/09/2023,Air Filter Replacement,396.0
S32198,C10670,03/02/2025,Major Service,252.0
S32199,C10670,04/02/2023,Wheel Alignment,422.0
S32205,C10672,23/07/2021,Clutch Replacement,68.0
S32208,C10672,07/01/2023,Brake Replacement,82.0
S32220,C10676,03/12/2024,Battery Replacement,316.0
S32223,C10677,20/09/2024,Tire Replacement,468.0
S32226,C10677,19/11/2020,Tire Replacement,50.0
S32231,C10679,09/04/2024,Air Filter Replacement,207.0
S32233,C10679,04/06/2025,Coolant Flush,127.0
S32269,C10690,10/12/2021,Brake Replacement,113.0
S32327,C10709,21/09/2020,Battery Replacement,500.0
S32330,C10709,09/12/2021,Coolant Flush,393.0
S32331,C10710,30/04/2024,Suspension Check,58.0
S32332,C10710,23/06/2024,Wheel Alignment,459.0
S32346,C10714,07/03/2023,Tire Replacement,417.0
S32375,C10724,21/11/2024,Battery Replacement,240.0
S32378,C10724,04/03/2022,Tire Replacement,189.0
S32408,C10734,27/10/2021,Coolant Flush,70.0
S32409,C10734,08/07/2024,Oil Change,176.0
S32411,C10736,15/07/2025,Coolant Flush,354.0
S32413,C10736,15/05/2025,Battery Replacement,333.0
S32414,C10736,20/08/2021,Battery Replacement,146.0
S32427,C10743,23/10/2023,Coolant Flush,85.0
S32432,C10744,11/08/2021,Clutch Replacement,142.0
S32467,C10756,01/05/2022,Battery Replacement,277.0
S32478,C10759,04/03/2022,Spark Plug Replacement,341.0
S32479,C10759,10/03/2024,Battery Replacement,373.0
S32480,C10759,01/03/2025,Clutch Replacement,318.0
S32491,C10762,27/03/2024,Brake Replacement,465.0
S32499,C10765,24/04/2023,Oil Change,292.0
S32500,C10765,10/02/2023,Coolant Flush,157.0
S32501,C10765,06/09/2020,Clutch Replacement,108.0
S32525,C10773,14/04/2022,Brake Replacement,267.0
S32526,C10773,01/05/2021,Tire Replacement,127.0
S32554,C10782,16/05/2023,Suspension Check,422.0
S32561,C10784,03/01/2022,Brake Replacement,290.0
S32620,C10802,13/06/2023,Battery Replacement,434.0
S32621,C10802,10/07/2022,Spark Plug Replacement,101.0
S32622,C10803,04/05/2024,Tire Replacement,297.0
S32642,C10811,05/10/2024,Transmission Check,282.0
S32643,C10811,09/08/2024,Coolant Flush,273.0
S32672,C10822,05/02/2022,Spark Plug Replacement,297.0
S32673,C10823,01/06/2022,Wheel Alignment,216.0
S32674,C10823,09/12/2022,Suspension Check,114.0
S32677,C10824,23/07/2021,Suspension Check,381.0
S32685,C10825,27/01/2024,Wheel Alignment,194.0
S32693,C10828,22/02/2021,Spark Plug Replacement,215.0
S32694,C10828,24/05/2023,Suspension Check,408.0
S32760,C10850,03/04/2025,Coolant Flush,265.0
S32762,C10850,22/10/2022,Air Filter Replacement,407.0
S32763,C10850,06/12/2024,Oil Change,231.0
S32771,C10854,02/04/2023,Clutch Replacement,231.0
S32772,C10854,06/06/2021,Brake Replacement,384.0
S32773,C10854,26/02/2024,Suspension Check,50.0
S32824,C10874,09/10/2020,Suspension Check,295.0
S32825,C10874,16/12/2024,Oil Change,232.0
S32830,C10878,14/11/2023,Air Filter Replacement,465.0
S32838,C10881,19/11/2021,Tire Replacement,111.0
S32840,C10881,25/04/2021,Battery Replacement,129.0
S32842,C10882,27/03/2023,Major Service,250.0
S32875,C10895,25/12/2021,Brake Replacement,202.0
S32887,C10902,18/08/2022,Transmission Check,412.0
S32889,C10902,15/04/2024,Oil Change,256.0
S32890,C10902,23/04/2025,Clutch Replacement,421.0
S32901,C10905,20/08/2023,Air Filter Replacement,417.0
S32909,C10908,29/03/2025,Suspension Check,140.0
S32910,C10908,04/06/2023,Coolant Flush,480.0
S32911,C10908,04/11/2023,Coolant Flush,245.0
S32939,C10918,22/01/2024,Oil Change,199.0
S32975,C10931,21/11/2022,Air Filter Replacement,219.0
S33005,C10942,22/10/2022,Coolant Flush,176.0
S33011,C10945,05/06/2024,Coolant Flush,147.0
S33013,C10946,17/09/2021,Oil Change,54.0
S33024,C10950,22/08/2021,Oil Change,421.0
S33060,C10963,08/06/2021,Tire Replacement,114.0
S33062,C10964,07/07/2023,Suspension Check,418.0
S33065,C10965,26/11/2024,Major Service,348.0
S33078,C10969,06/05/2021,Major Service,292.0
S33079,C10969,20/08/2025,Oil Change,325.0
S33080,C10970,11/01/2021,Brake Replacement,411.0
S33081,C10970,22/09/2024,Transmission Check,311.0
S33082,C10971,29/07/2024,Clutch Replacement,243.0
S33120,C10982,18/11/2022,Brake Replacement,458.0
S33134,C10987,17/07/2023,Coolant Flush,65.0
S33135,C10987,12/01/2021,Tire Replacement,428.0
S33136,C10987,27/09/2020,Oil Change,193.0
S33152,C10994,03/10/2024,Tire Replacement,263.0
S33153,C10994,12/07/2022,Coolant Flush,489.0
S33163,C10997,06/04/2023,Transmission Check,271.0
S33172,C11000,01/11/2024,Spark Plug Replacement,264.0
S33173,C11000,29/01/2023,Major Service,224.0
S33215,C11015,26/01/2025,Transmission Check,443.0
S33216,C11016,17/12/2021,Transmission Check,58.0
S33228,C11021,28/11/2022,Transmission Check,189.0
S33242,C11027,11/06/2023,Coolant Flush,157.0
S33245,C11029,19/09/2020,Clutch Replacement,213.0
S33253,C11032,02/06/2024,Brake Replacement,270.0
S33254,C11032,21/06/2024,Wheel Alignment,215.0
S33255,C11032,08/11/2022,Suspension Check,354.0
S33257,C11033,18/07/2025,Oil Change,73.0
S33258,C11033,07/04/2023,Major Service,370.0
S33259,C11033,21/02/2025,Oil Change,331.0
S33264,C11035,13/10/2020,Spark Plug Replacement,400.0
S33265,C11036,29/06/2025,Air Filter Replacement,328.0
S33266,C11036,13/06/2023,Clutch Replacement,281.0
S33289,C11045,24/08/2022,Battery Replacement,460.0
S33290,C11045,22/01/2025,Oil Change,321.0
S33291,C11045,28/07/2022,Major Service,448.0
S33325,C11057,23/06/2025,Clutch Replacement,409.0
S33327,C11057,04/09/2023,Suspension Check,346.0
S33328,C11057,05/06/2023,Oil Change,72.0
S33336,C11060,01/03/2022,Tire Replacement,319.0
S33339,C11060,10/05/2024,Tire Replacement,397.0
S33340,C11060,25/07/2022,Suspension Check,362.0
S33344,C11062,03/01/2021,Wheel Alignment,448.0
S33345,C11063,25/10/2021,Major Service,178.0
S33346,C11063,25/11/2022,Battery Replacement,92.0
S33347,C11063,29/10/2022,Battery Replacement,226.0
S33360,C11066,29/01/2023,Spark Plug Replacement,342.0
S33361,C11066,07/12/2023,Suspension Check,198.0
S33370,C11070,20/10/2021,Major Service,458.0
S33371,C11070,16/02/2024,Coolant Flush,365.0
S33393,C11077,11/08/2021,Brake Replacement,444.0
S33394,C11077,06/01/2022,Clutch Replacement,318.0
S33397,C11078,08/02/2021,Spark Plug Replacement,175.0
S33398,C11078,11/11/2024,Major Service,485.0
S33407,C11082,15/08/2023,Wheel Alignment,481.0
S33408,C11082,27/11/2023,Wheel Alignment,430.0
S33409,C11082,21/08/2021,Coolant Flush,365.0
S33410,C11083,20/10/2023,Wheel Alignment,253.0
S33412,C11083,27/05/2022,Spark Plug Replacement,223.0
S33423,C11087,11/04/2021,Transmission Check,323.0
S33437,C11091,18/09/2021,Spark Plug Replacement,316.0
S33456,C11097,26/05/2024,Clutch Replacement,256.0
S33460,C11098,08/02/2022,Brake Replacement,133.0
S33461,C11098,30/04/2025,Battery Replacement,151.0
S33462,C11099,25/02/2024,Coolant Flush,431.0
S33463,C11099,17/11/2021,Tire Replacement,416.0
S33464,C11099,29/02/2024,Suspension Check,464.0
S33470,C11101,31/03/2021,Major Service,115.0
S33481,C11105,18/03/2021,Coolant Flush,184.0
S33484,C11105,11/09/2021,Tire Replacement,492.0
S33493,C11108,04/08/2022,Oil Change,466.0
S33494,C11108,25/03/2025,Suspension Check,352.0
S33514,C11114,10/02/2024,Air Filter Replacement,302.0
S33515,C11114,14/09/2024,Air Filter Replacement,105.0
S33516,C11114,22/03/2025,Suspension Check,181.0
S33526,C11119,19/02/2021,Brake Replacement,350.0
S33527,C11119,30/03/2021,Tire Replacement,122.0
S33528,C11120,06/08/2023,Wheel Alignment,475.0
S33530,C11120,09/03/2024,Oil Change,217.0
S33531,C11120,11/02/2024,Transmission Check,409.0
S33536,C11122,03/02/2023,Spark Plug Replacement,92.0
S33543,C11125,19/01/2023,Coolant Flush,256.0
S33544,C11125,21/08/2021,Oil Change,468.0
S33548,C11127,02/04/2021,Wheel Alignment,223.0
S33549,C11127,31/01/2024,Clutch Replacement,417.0
S33550,C11127,04/11/2023,Major Service,210.0
S33552,C11128,14/10/2020,Wheel Alignment,499.0
S33556,C11129,04/08/2024,Transmission Check,87.0
S33557,C11129,04/08/2022,Major Service,429.0
S33558,C11130,08/01/2025,Coolant Flush,409.0
S33559,C11130,05/12/2023,Wheel Alignment,453.0
S33563,C11132,30/10/2021,Transmission Check,362.0
S33598,C11142,27/06/2023,Major Service,115.0
S33599,C11142,22/11/2024,Battery Replacement,162.0
S33626,C11154,11/07/2021,Suspension Check,196.0
S33627,C11154,06/06/2022,Air Filter Replacement,401.0
S33662,C11166,26/10/2023,Major Service,403.0
S33664,C11166,08/09/2024,Brake Replacement,205.0
S33736,C11188,11/12/2023,Tire Replacement,137.0
S33739,C11190,31/07/2024,Suspension Check,246.0
S33740,C11190,14/07/2025,Clutch Replacement,82.0
S33750,C11196,10/07/2025,Spark Plug Replacement,478.0
S33752,C11196,13/02/2023,Major Service,64.0
S33753,C11197,16/09/2020,Transmission Check,382.0
S33755,C11197,24/05/2025,Transmission Check,149.0
S33756,C11197,28/01/2025,Oil Change,277.0
S33781,C11207,28/01/2022,Clutch Replacement,165.0
S33787,C11209,04/04/2024,Transmission Check,179.0
S33791,C11210,24/12/2022,Major Service,352.0
S33792,C11210,14/07/2024,Suspension Check,432.0
S33793,C11210,21/05/2022,Clutch Replacement,159.0
S33795,C11211,27/04/2024,Clutch Replacement,466.0
S33801,C11213,16/07/2025,Spark Plug Replacement,306.0
S33803,C11213,22/09/2022,Major Service,362.0
S33819,C11221,24/01/2022,Suspension Check,193.0
S33820,C11221,05/09/2024,Transmission Check,262.0
S33836,C11225,10/07/2022,Tire Replacement,207.0
S33871,C11238,17/01/2025,Wheel Alignment,256.0
S33874,C11238,29/09/2021,Coolant Flush,421.0
S33888,C11243,21/12/2021,Air Filter Replacement,142.0
S33890,C11243,19/04/2021,Battery Replacement,241.0
S33892,C11243,21/10/2024,Battery Replacement,147.0
S33899,C11246,05/01/2022,Coolant Flush,295.0
S33900,C11246,09/03/2024,Air Filter Replacement,309.0
S33901,C11246,24/09/2024,Transmission Check,348.0
S33919,C11251,23/01/2024,Brake Replacement,373.0
S33946,C11260,15/07/2022,Suspension Check,381.0
S33947,C11260,05/06/2024,Suspension Check,53.0
S33978,C11270,23/03/2022,Battery Replacement,317.0
S33979,C11270,04/05/2023,Coolant Flush,224.0
S33981,C11270,25/01/2023,Tire Replacement,331.0
S33982,C11271,15/08/2022,Wheel Alignment,340.0
S33983,C11271,27/05/2021,Air Filter Replacement,324.0
S33984,C11271,03/05/2024,Tire Replacement,498.0
S33991,C11273,14/04/2024,Brake Replacement,141.0
S34001,C11276,13/05/2025,Coolant Flush,238.0
S34033,C11287,19/10/2023,Battery Replacement,231.0
S34035,C11287,02/08/2023,Brake Replacement,174.0
S34051,C11294,13/07/2025,Clutch Replacement,325.0
S34053,C11294,16/12/2021,Coolant Flush,205.0
S34055,C11294,14/09/2020,Transmission Check,482.0
S34064,C11297,20/02/2022,Suspension Check,460.0
S34066,C11298,01/07/2025,Brake Replacement,441.0
S34076,C11301,24/12/2021,Oil Change,360.0
S34077,C11301,04/02/2025,Wheel Alignment,162.0
S34096,C11307,26/08/2022,Tire Replacement,389.0
S34097,C11307,21/02/2025,Coolant Flush,54.0
S34101,C11310,16/05/2022,Clutch Replacement,238.0
S34151,C11328,25/04/2022,Major Service,304.0
S34177,C11338,18/11/2020,Transmission Check,276.0
S34210,C11349,27/08/2023,Spark Plug Replacement,246.0
S34249,C11360,24/02/2024,Oil Change,87.0
S34250,C11360,25/11/2024,Brake Replacement,177.0
S34251,C11360,25/09/2022,Spark Plug Replacement,329.0
S34271,C11369,27/03/2022,Transmission Check,301.0
S34299,C11379,03/01/2025,Air Filter Replacement,179.0
S34300,C11379,09/02/2025,Brake Replacement,94.0
S34301,C11379,23/03/2025,Major Service,473.0
S34309,C11381,21/08/2024,Wheel Alignment,413.0
S34357,C11397,28/08/2025,Oil Change,169.0
S34359,C11397,20/06/2024,Major Service,172.0
S34361,C11397,16/12/2022,Transmission Check,311.0
S34377,C11403,05/04/2025,Oil Change,228.0
S34419,C11417,23/06/2025,Coolant Flush,337.0
S34421,C11417,04/03/2023,Spark Plug Replacement,186.0
S34423,C11417,20/03/2025,Major Service,344.0
S34425,C11419,12/03/2024,Major Service,89.0
S34426,C11419,01/10/2023,Oil Change,102.0
S34452,C11427,27/05/2024,Clutch Replacement,272.0
S34453,C11427,03/11/2023,Wheel Alignment,239.0
S34454,C11427,04/12/2023,Spark Plug Replacement,478.0
S34455,C11428,28/05/2023,Oil Change,436.0
S34457,C11428,04/10/2020,Air Filter Replacement,242.0
S34460,C11430,18/10/2020,Battery Replacement,146.0
S34462,C11430,15/07/2022,Battery Replacement,70.0
S34464,C11430,22/11/2022,Brake Replacement,330.0
S34478,C11434,18/05/2023,Suspension Check,195.0
S34479,C11434,23/04/2021,Air Filter Replacement,316.0
S34485,C11437,02/10/2023,Coolant Flush,215.0
S34513,C11445,10/06/2022,Clutch Replacement,211.0
S34515,C11445,19/06/2023,Brake Replacement,461.0
S34546,C11458,02/03/2024,Air Filter Replacement,112.0
S34548,C11459,07/07/2021,Major Service,274.0
S34556,C11462,30/01/2022,Air Filter Replacement,83.0
S34557,C11462,15/08/2023,Air Filter Replacement,318.0
S34564,C11464,14/09/2022,Transmission Check,162.0
S34565,C11464,17/08/2024,Tire Replacement,414.0
S34585,C11471,09/08/2021,Transmission Check,258.0
S34586,C11471,13/11/2023,Suspension Check,218.0
S34601,C11476,20/08/2022,Air Filter Replacement,418.0
S34603,C11476,22/05/2023,Major Service,146.0
S34605,C11476,16/06/2022,Battery Replacement,245.0
S34607,C11478,11/01/2023,Suspension Check,431.0
S34608,C11478,28/01/2023,Air Filter Replacement,131.0
S34626,C11485,08/11/2024,Suspension Check,317.0
S34635,C11488,10/06/2023,Major Service,464.0
S34641,C11490,16/11/2022,Transmission Check,161.0
S34642,C11490,09/09/2022,Tire Replacement,277.0
S34652,C11495,27/03/2021,Tire Replacement,403.0
S34656,C11498,18/03/2023,Clutch Replacement,147.0
S34657,C11498,29/06/2024,Air Filter Replacement,114.0
S34658,C11498,26/04/2022,Battery Replacement,187.0
S34679,C11505,23/12/2021,Major Service,326.0
S34680,C11505,01/05/2024,Coolant Flush,445.0
S34697,C11510,26/10/2024,Major Service,243.0
S34702,C11512,26/05/2025,Wheel Alignment,223.0
S34703,C11512,24/02/2023,Clutch Replacement,67.0
S34733,C11522,29/01/2022,Coolant Flush,432.0
S34753,C11528,15/01/2022,Air Filter Replacement,382.0
S34771,C11533,28/06/2023,Brake Replacement,479.0
S34772,C11533,30/09/2024,Tire Replacement,487.0
S34773,C11533,15/03/2023,Clutch Replacement,237.0
S34782,C11536,31/05/2025,Brake Replacement,205.0
S34784,C11536,15/03/2024,Tire Replacement,174.0
S34785,C11536,01/02/2022,Coolant Flush,136.0
S34790,C11539,13/12/2022,Suspension Check,276.0
S34793,C11542,03/10/2024,Brake Replacement,102.0
S34804,C11544,02/07/2024,Coolant Flush,209.0
S34813,C11547,08/03/2022,Clutch Replacement,400.0
S34814,C11547,17/11/2023,Tire Replacement,462.0
S34815,C11547,27/08/2022,Clutch Replacement,221.0
S34828,C11551,31/10/2021,Oil Change,431.0
S34869,C11563,20/12/2023,Major Service,355.0
S34885,C11569,02/12/2023,Spark Plug Replacement,422.0
S34886,C11569,24/04/2025,Coolant Flush,319.0
S34889,C11571,18/10/2023,Wheel Alignment,303.0
S34890,C11572,03/01/2022,Suspension Check,206.0
S34891,C11572,17/05/2024,Clutch Replacement,306.0
S34892,C11572,24/05/2021,Transmission Check,487.0
S34903,C11575,09/07/2025,Transmission Check,338.0
S34904,C11575,29/11/2021,Transmission Check,56.0
S34905,C11575,27/08/2024,Spark Plug Replacement,97.0
S34906,C11576,10/12/2023,Brake Replacement,75.0
S34907,C11576,11/08/2021,Transmission Check,207.0
S34925,C11584,19/12/2024,Brake Replacement,336.0
S34927,C11584,17/09/2020,Tire Replacement,129.0
S34929,C11584,06/10/2022,Air Filter Replacement,211.0
S34948,C11592,15/11/2021,Tire Replacement,463.0
S34951,C11593,23/08/2024,Coolant Flush,172.0
S34952,C11593,31/12/2024,Transmission Check,226.0
S34958,C11595,10/01/2025,Spark Plug Replacement,453.0
S34960,C11595,07/04/2022,Tire Replacement,114.0
S34984,C11602,01/03/2021,Transmission Check,328.0
S34986,C11602,01/02/2023,Clutch Replacement,215.0
S35022,C11618,09/11/2022,Wheel Alignment,373.0
S35028,C11620,01/02/2023,Oil Change,308.0
S35029,C11620,03/05/2023,Tire Replacement,199.0
S35052,C11626,02/09/2024,Wheel Alignment,339.0
S35053,C11626,11/11/2023,Air Filter Replacement,395.0
S35054,C11626,05/06/2025,Battery Replacement,270.0
S35058,C11628,28/02/2023,Coolant Flush,191.0
S35072,C11633,21/12/2021,Major Service,322.0
S35079,C11635,21/02/2022,Wheel Alignment,96.0
S35081,C11635,22/05/2025,Battery Replacement,230.0
S35087,C11637,18/11/2024,Brake Replacement,423.0
S35093,C11639,05/07/2021,Air Filter Replacement,479.0
S35098,C11642,21/05/2024,Battery Replacement,361.0
S35100,C11642,16/01/2024,Tire Replacement,140.0
S35101,C11643,06/03/2023,Clutch Replacement,481.0
S35110,C11646,10/01/2021,Brake Replacement,445.0
S35174,C11666,17/10/2023,Spark Plug Replacement,349.0
S35175,C11666,22/07/2023,Air Filter Replacement,246.0
S35178,C11667,08/02/2024,Tire Replacement,226.0
S35180,C11667,11/10/2020,Brake Replacement,295.0
S35181,C11668,13/01/2025,Spark Plug Replacement,187.0
S35183,C11668,24/06/2022,Brake Replacement,130.0
S35184,C11668,29/01/2025,Major Service,265.0
S35189,C11669,16/08/2025,Air Filter Replacement,307.0
S35194,C11671,14/10/2023,Brake Replacement,85.0
S35195,C11671,12/12/2020,Suspension Check,101.0
S35196,C11671,19/03/2024,Oil Change,305.0
S35197,C11672,03/07/2024,Spark Plug Replacement,163.0
S35199,C11672,09/04/2021,Transmission Check,119.0
S35200,C11672,21/05/2024,Wheel Alignment,185.0
S35230,C11681,04/03/2022,Battery Replacement,255.0
S35231,C11681,17/08/2025,Major Service,406.0
S35257,C11691,25/08/2021,Tire Replacement,274.0
S35308,C11709,12/11/2021,Brake Replacement,398.0
S35312,C11711,14/08/2021,Major Service,389.0
S35313,C11712,27/08/2023,Suspension Check,114.0
S35314,C11712,28/01/2025,Suspension Check,353.0
S35315,C11712,20/04/2023,Tire Replacement,289.0
S35321,C11714,06/01/2024,Wheel Alignment,192.0
S35332,C11716,25/07/2025,Tire Replacement,232.0
S35379,C11731,12/09/2023,Oil Change,473.0
S35392,C11735,20/03/2023,Oil Change,322.0
S35429,C11745,08/05/2022,Tire Replacement,446.0
S35448,C11750,18/01/2025,Oil Change,132.0
S35468,C11757,12/07/2023,Air Filter Replacement,458.0
S35472,C11758,23/08/2022,Spark Plug Replacement,350.0
S35492,C11765,30/04/2023,Clutch Replacement,294.0
S35493,C11765,07/04/2023,Brake Replacement,95.0
S35520,C11772,01/09/2020,Tire Replacement,225.0
S35540,C11779,05/11/2021,Tire Replacement,438.0
S35578,C11791,14/05/2021,Suspension Check,53.0
S35601,C11798,07/11/2021,Spark Plug Replacement,342.0
S35604,C11800,04/09/2022,Air Filter Replacement,490.0
S35621,C11809,08/03/2025,Transmission Check,341.0
S35622,C11809,26/11/2023,Tire Replacement,134.0
S35625,C11809,27/09/2023,Wheel Alignment,282.0
S35630,C11811,24/06/2024,Oil Change,417.0
S35636,C11813,23/02/2023,Spark Plug Replacement,355.0
S35640,C11813,10/11/2024,Coolant Flush,115.0
S35669,C11822,25/04/2021,Major Service,381.0
S35674,C11824,13/03/2023,Tire Replacement,453.0
S35680,C11828,30/07/2021,Battery Replacement,165.0
S35691,C11833,10/09/2021,Tire Replacement,150.0
S35694,C11835,18/12/2024,Suspension Check,311.0
S35704,C11839,11/11/2023,Suspension Check,116.0
S35707,C11840,30/01/2025,Oil Change,179.0
S35708,C11840,23/11/2023,Battery Replacement,120.0
S35709,C11840,02/09/2021,Suspension Check,288.0
S35720,C11844,04/06/2021,Suspension Check,448.0
S35721,C11844,21/07/2025,Spark Plug Replacement,220.0
S35726,C11847,12/04/2021,Oil Change,490.0
S35727,C11847,03/08/2022,Wheel Alignment,119.0
S35728,C11847,03/07/2021,Clutch Replacement,56.0
S35729,C11848,28/09/2020,Oil Change,78.0
S35745,C11853,14/09/2020,Transmission Check,139.0
S35746,C11853,07/02/2024,Brake Replacement,406.0
S35779,C11864,23/09/2021,Suspension Check,449.0
S35798,C11869,13/03/2024,Coolant Flush,50.0
S35800,C11869,21/02/2025,Major Service,275.0
S35811,C11873,27/06/2021,Major Service,385.0
S35812,C11873,27/01/2024,Clutch Replacement,472.0
S35813,C11874,11/03/2022,Clutch Replacement,139.0
S35814,C11874,29/09/2021,Transmission Check,425.0
S35819,C11876,17/09/2021,Spark Plug Replacement,177.0
S35863,C11888,29/07/2022,Major Service,369.0
S35865,C11888,11/10/2020,Wheel Alignment,228.0
S35872,C11891,12/09/2021,Spark Plug Replacement,448.0
S35890,C11898,15/08/2022,Suspension Check,330.0
S35901,C11903,27/03/2024,Brake Replacement,340.0
S35924,C11911,23/10/2021,Spark Plug Replacement,72.0
S35927,C11912,20/01/2023,Wheel Alignment,232.0
S35930,C11913,14/05/2021,Suspension Check,313.0
S35932,C11913,04/01/2021,Brake Replacement,179.0
S35950,C11918,29/01/2025,Battery Replacement,477.0
S35952,C11918,19/12/2020,Battery Replacement,423.0
S35953,C11918,18/07/2025,Battery Replacement,377.0
S35973,C11924,23/05/2024,Oil Change,258.0
S35999,C11934,19/11/2023,Major Service,331.0
S36000,C11934,23/12/2023,Spark Plug Replacement,317.0
S36001,C11934,28/12/2022,Major Service,139.0
S36052,C11949,04/05/2024,Brake Replacement,199.0
S36054,C11949,17/08/2024,Air Filter Replacement,142.0
S36081,C11959,13/06/2023,Suspension Check,384.0
S36082,C11959,03/09/2023,Clutch Replacement,482.0
S36089,C11961,23/11/2023,Major Service,95.0
S36090,C11961,01/02/2021,Tire Replacement,397.0
S36097,C11964,28/08/2022,Transmission Check,432.0
S36111,C11973,30/11/2020,Coolant Flush,438.0
S36114,C11973,20/07/2024,Transmission Check,422.0
S36133,C11981,06/05/2025,Wheel Alignment,314.0
S36135,C11981,26/07/2021,Coolant Flush,245.0
S36136,C11981,23/12/2024,Transmission Check,373.0
S36138,C11982,19/02/2021,Coolant Flush,369.0
S36139,C11982,05/10/2023,Oil Change,202.0
S36154,C11987,29/09/2023,Coolant Flush,136.0
S36159,C11988,09/03/2023,Tire Replacement,329.0
S36178,C11994,18/10/2023,Coolant Flush,128.0
S36179,C11994,06/08/2021,Suspension Check,286.0
S36180,C11994,06/04/2023,Wheel Alignment,386.0
S36211,C12006,25/06/2024,Transmission Check,249.0
S36213,C12006,17/11/2023,Brake Replacement,193.0
S36214,C12007,04/10/2023,Spark Plug Replacement,266.0
S36217,C12007,09/05/2024,Air Filter Replacement,85.0
S36218,C12008,28/11/2021,Clutch Replacement,491.0
S36220,C12008,14/02/2023,Spark Plug Replacement,402.0
S36222,C12010,26/02/2024,Coolant Flush,394.0
S36223,C12010,15/03/2022,Wheel Alignment,499.0
S36224,C12010,10/08/2024,Tire Replacement,492.0
S36267,C12028,17/04/2025,Tire Replacement,265.0
S36274,C12031,15/05/2021,Wheel Alignment,415.0
S36275,C12031,11/04/2021,Spark Plug Replacement,336.0
S36276,C12031,15/05/2023,Major Service,207.0
S36280,C12034,23/05/2021,Oil Change,375.0
S36300,C12039,14/04/2022,Wheel Alignment,331.0
S36317,C12045,26/01/2024,Tire Replacement,160.0
S36330,C12051,18/08/2024,Wheel Alignment,398.0
