AccidentID,CarID,Date_of_Accident,Description,Cost_of_Repair,Severity
A39941,C26547,21/12/2023,Parking lot scrape,3623.0,Moderate
A39945,C26551,26/02/2025,Minor fender bender,1593.0,Major
A39946,C26551,21/05/2023,Accident on slippery road,4023.0,Major
A39947,C26551,29/10/2020,Damage from pothole incident,4945.0,Severe
A39962,C26560,09/09/2022,Minor fender bender,4944.0,Severe
A39964,C26562,28/08/2025,Fender scratch from curb,2096.0,Major
A39965,C26562,12/04/2021,Minor parking lot accident,4173.0,Severe
A39973,C26566,06/09/2022,Rear quarter panel dent,1003.0,Major
A39974,C26566,19/09/2021,Damage from pothole incident,3624.0,Minor
A39975,C26566,19/07/2025,Side panel scratch,765.0,Minor
A39985,C26575,17/06/2024,Front-end collision,2306.0,Moderate
A39986,C26575,24/02/2021,Door dent from tight parking,1689.0,Severe
A39996,C26582,22/04/2021,Rear-end hit at traffic light,4165.0,Major
A40008,C26588,16/03/2023,Collision with pole,4576.0,Moderate
A40009,C26588,31/05/2025,Windshield damage,3261.0,Minor
A40017,C26595,20/07/2024,Parking lot scrape,954.0,Minor
A40018,C26595,15/02/2024,Collision with pole,1123.0,Moderate
A40022,C26597,27/03/2025,Side panel scratch,1088.0,Severe
A40023,C26597,25/03/2024,Minor collision at roundabout,2982.0,Minor
A40040,C26608,28/05/2022,Fender scratch from curb,400.0,Moderate
A40041,C26608,10/09/2024,Windshield damage,3106.0,Major
A40042,C26609,16/03/2025,Parking lot scrape,905.0,Moderate
A40043,C26609,20/09/2022,Door dent from tight parking,704.0,Severe
A40046,C26611,05/08/2021,Minor collision at roundabout,3583.0,Moderate
A40047,C26612,27/02/2025,Front bumper scrape,3587.0,Moderate
A40051,C26616,02/10/2023,Front bumper scrape,3916.0,Moderate
A40052,C26616,06/07/2025,Minor collision at roundabout,1605.0,Major
A40053,C26616,15/01/2021,Front bumper scrape,3259.0,Severe
A40058,C26621,11/05/2023,Windshield damage,4514.0,Moderate
A40059,C26621,21/05/2023,Side swipe from passing vehicle,4862.0,Severe
A40060,C26621,15/04/2024,Side panel scratch,2833.0,Moderate
A40061,C26622,19/11/2024,Side panel scratch,290.0,Severe
A40062,C26622,04/08/2024,Scratched paint on rear bumper,4230.0,Severe
A40063,C26622,23/08/2023,Rear-end hit at traffic light,1760.0,Major
A40065,C26626,19/09/2020,Side swipe from passing vehicle,4676.0,Major
A40076,C26634,26/02/2021,Tire puncture during accident,154.0,Severe
A40077,C26634,27/03/2022,Minor collision at roundabout,3446.0,Minor
A40078,C26635,07/09/2020,Minor fender bender,3999.0,Major
A40079,C26635,09/03/2024,Collision with pole,588.0,Major
A40080,C26635,18/08/2022,Parking lot scrape,2959.0,Major
A40089,C26641,26/05/2025,Minor fender bender,1088.0,Moderate
A40093,C26645,18/12/2023,Side mirror broken,2787.0,Minor
A40094,C26645,01/07/2025,Parking lot scrape,3143.0,Minor
A40095,C26645,24/02/2021,Parking lot scrape,4966.0,Minor
A40096,C26646,23/06/2024,Collision with pole,3745.0,Moderate
A40097,C26646,29/03/2021,Head-on collision,2747.0,Severe
A40098,C26646,08/10/2020,Door dent from tight parking,1221.0,Minor
A40102,C26648,13/07/2023,Rear bumper collision,3127.0,Moderate
A40103,C26648,25/07/2023,Windshield damage,1123.0,Moderate
A40112,C26653,09/02/2025,Collision with pole,1178.0,Major
A40113,C26654,16/04/2024,Front bumper scrape,2123.0,Severe
A40114,C26654,01/07/2022,Rear-end hit at traffic light,4219.0,Severe
A40117,C26657,02/11/2021,Fender scratch from curb,283.0,Severe
A40118,C26657,06/08/2024,Accident on slippery road,3015.0,Severe
A40119,C26657,01/11/2023,Minor collision at roundabout,1033.0,Severe
A40141,C26675,24/11/2024,Damage from pothole incident,2665.0,Major
A40146,C26678,19/12/2021,Windshield damage,1438.0,Severe
A40147,C26678,14/04/2022,Parking lot scrape,467.0,Minor
A40148,C26679,08/11/2020,Collision with pole,409.0,Minor
A40160,C26689,04/12/2021,Rear bumper collision,731.0,Severe
A40161,C26689,25/07/2025,Minor collision at roundabout,1129.0,Severe
A40162,C26690,03/04/2023,Rear quarter panel dent,722.0,Severe
A40163,C26690,18/04/2022,Accident on slippery road,2131.0,Minor
A40164,C26691,21/05/2021,Side panel scratch,2045.0,Severe
A40171,C26696,20/12/2023,Front bumper scrape,2987.0,Moderate
A40172,C26696,11/09/2024,Minor collision at roundabout,3947.0,Moderate
A40173,C26696,03/07/2025,Front-end collision,4115.0,Major
A40175,C26700,28/06/2021,Front-end collision,3661.0,Severe
A40176,C26701,09/04/2021,Door dent from tight parking,1408.0,Severe
A40180,C26703,10/08/2023,Side mirror broken,605.0,Moderate
A40181,C26703,13/11/2023,Minor collision at roundabout,387.0,Severe
A40204,C26717,20/04/2022,Rear quarter panel dent,2042.0,Minor
A40207,C26720,15/09/2022,Windshield damage,3088.0,Moderate
A40208,C26720,15/09/2020,Minor parking lot accident,1339.0,Major
A40209,C26720,24/07/2025,Rear quarter panel dent,1389.0,Minor
A40212,C26723,24/06/2021,Rear bumper collision,1567.0,Severe
A40218,C26727,24/12/2021,Side swipe from passing vehicle,3881.0,Severe
A40222,C26731,24/06/2024,Hood dent from minor crash,3440.0,Major
A40230,C26736,04/11/2020,Door dent from tight parking,4266.0,Minor
A40231,C26736,09/09/2022,Minor parking lot accident,3544.0,Moderate
A40232,C26736,14/10/2022,Door dent from tight parking,3207.0,Severe
A40236,C26739,23/02/2024,Hood dent from minor crash,3523.0,Moderate
A40243,C26744,14/03/2023,Accident on slippery road,2283.0,Major
A40244,C26745,16/12/2021,Rear-end hit at traffic light,2336.0,Severe
A40245,C26745,14/07/2023,Rear quarter panel dent,3318.0,Major
A40246,C26745,07/01/2025,Hood dent from minor crash,274.0,Moderate
A40253,C26750,30/12/2020,Rear bumper collision,2035.0,Minor
A40254,C26750,06/07/2021,Minor collision at roundabout,3220.0,Major
A40255,C26750,12/11/2023,Side panel scratch,3067.0,Minor
A40258,C26754,14/08/2025,Accident on slippery road,1582.0,Severe
A40259,C26754,20/09/2023,Parking lot scrape,4819.0,Severe
A40260,C26754,11/05/2023,Hood dent from minor crash,4007.0,Severe
A40263,C26756,07/03/2023,Accident on slippery road,3321.0,Minor
A40268,C26759,28/12/2022,Side swipe from passing vehicle,4834.0,Severe
A40269,C26759,16/09/2024,Door dent from tight parking,3793.0,Major
A40270,C26760,20/09/2021,Front-end collision,4735.0,Severe
A40271,C26760,17/03/2024,Side panel scratch,3849.0,Minor
A40272,C26761,23/07/2022,Windshield damage,2972.0,Major
A40273,C26761,03/11/2022,Damage from pothole incident,4656.0,Minor
A40278,C26765,05/03/2025,Rear quarter panel dent,3748.0,Major
A40279,C26765,08/07/2024,Hood dent from minor crash,1325.0,Major
A40280,C26765,08/06/2021,Side swipe from passing vehicle,4266.0,Severe
A40281,C26766,11/09/2020,Hood dent from minor crash,2959.0,Moderate
A40286,C26769,18/03/2025,Minor collision at roundabout,2280.0,Major
A40287,C26769,19/03/2023,Minor collision at roundabout,2929.0,Moderate
A40288,C26770,22/04/2022,Front bumper scrape,4686.0,Moderate
A40289,C26770,09/07/2021,Collision with pole,1779.0,Minor
A40290,C26770,21/05/2024,Front-end collision,3208.0,Major
A40291,C26771,17/10/2021,Minor parking lot accident,1537.0,Major
A40292,C26771,03/09/2022,Rear-end hit at traffic light,1418.0,Severe
A40293,C26771,04/02/2024,Minor parking lot accident,4720.0,Minor
A40302,C26777,03/06/2021,Front-end collision,336.0,Minor
A40303,C26777,21/07/2021,Front-end collision,2033.0,Minor
A40304,C26777,16/11/2024,Accident on slippery road,332.0,Moderate
A40309,C26783,18/09/2024,Scratched paint on rear bumper,561.0,Major
A40310,C26783,10/04/2023,Minor collision at roundabout,3865.0,Severe
A40311,C26783,16/11/2024,Minor parking lot accident,3862.0,Minor
A40318,C26788,11/05/2023,Minor parking lot accident,3458.0,Minor
A40319,C26788,24/10/2024,Parking lot scrape,4756.0,Severe
A40321,C26790,19/01/2022,Minor parking lot accident,1206.0,Major
A40323,C26795,20/11/2022,Head-on collision,570.0,Moderate
A40324,C26795,28/07/2022,Fender scratch from curb,149.0,Major
A40325,C26795,08/10/2020,Minor fender bender,901.0,Minor
A40337,C26804,18/11/2021,Collision with pole,4361.0,Severe
A40340,C26806,13/01/2021,Windshield damage,270.0,Moderate
A40348,C26813,19/11/2023,Side swipe from passing vehicle,694.0,Moderate
A40349,C26813,17/07/2022,Collision with pole,2373.0,Major
A40350,C26813,31/08/2025,Tire puncture during accident,5000.0,Moderate
A40354,C26816,17/07/2022,Minor fender bender,3374.0,Minor
A40355,C26817,02/10/2020,Rear-end hit at traffic light,3478.0,Major
A40356,C26817,09/11/2021,Parking lot scrape,4325.0,Moderate
A40357,C26817,12/05/2024,Side panel scratch,428.0,Major
A40363,C26822,25/06/2025,Damage from pothole incident,2058.0,Severe
A40364,C26822,28/12/2021,Minor collision at roundabout,4774.0,Moderate
A40365,C26823,23/03/2023,Rear-end hit at traffic light,3060.0,Minor
A40366,C26823,09/06/2025,Hood dent from minor crash,959.0,Severe
A40371,C26827,28/12/2020,Door dent from tight parking,4360.0,Major
A40372,C26827,28/12/2021,Tire puncture during accident,1414.0,Moderate
A40373,C26827,15/11/2024,Minor collision at roundabout,2544.0,Major
A40374,C26828,16/12/2020,Side panel scratch,2958.0,Major
A40379,C26831,18/10/2022,Side swipe from passing vehicle,2321.0,Moderate
A40380,C26831,03/02/2021,Front-end collision,4172.0,Major
A40381,C26831,26/11/2020,Collision with pole,3850.0,Severe
A40396,C26843,08/12/2022,Minor parking lot accident,2970.0,Moderate
A40400,C26846,08/07/2021,Head-on collision,4725.0,Minor
A40401,C26847,30/08/2022,Hood dent from minor crash,2317.0,Major
A40402,C26847,17/07/2025,Scratched paint on rear bumper,3714.0,Major
A40409,C26853,23/06/2022,Door dent from tight parking,4306.0,Moderate
A40410,C26853,14/12/2021,Head-on collision,2428.0,Minor
A40416,C26857,29/03/2022,Scratched paint on rear bumper,3565.0,Minor
A40421,C26860,08/09/2024,Side swipe from passing vehicle,1234.0,Severe
A40422,C26860,02/02/2021,Side swipe from passing vehicle,1885.0,Major
A40432,C26870,04/07/2023,Minor parking lot accident,4354.0,Severe
A40433,C26870,15/03/2024,Side panel scratch,4626.0,Minor
A40434,C26870,05/04/2022,Rear-end hit at traffic light,2765.0,Severe
A40453,C26886,28/06/2024,Hood dent from minor crash,4061.0,Severe
A40454,C26886,23/03/2025,Parking lot scrape,2165.0,Major
A40460,C26889,04/06/2024,Scratched paint on rear bumper,4947.0,Severe
A40461,C26889,25/09/2024,Fender scratch from curb,691.0,Minor
A40462,C26890,03/06/2021,Damage from pothole incident,2706.0,Minor
A40463,C26890,20/04/2024,Hood dent from minor crash,283.0,Minor
A40464,C26890,05/01/2024,Front bumper scrape,964.0,Major
A40467,C26892,05/12/2022,Side mirror broken,4620.0,Severe
A40468,C26892,11/02/2025,Minor fender bender,4527.0,Minor
A40469,C26892,23/09/2023,Windshield damage,2394.0,Moderate
A40470,C26897,27/04/2025,Parking lot scrape,1228.0,Major
A40516,C26928,28/04/2024,Minor fender bender,3021.0,Moderate
A40517,C26928,16/11/2024,Front-end collision,2321.0,Severe
A40521,C26935,06/11/2021,Side mirror broken,3876.0,Minor
A40522,C26935,14/01/2021,Side mirror broken,1357.0,Minor
A40524,C26937,20/08/2022,Parking lot scrape,645.0,Major
A40528,C26939,04/05/2023,Hood dent from minor crash,3745.0,Severe
A40531,C26942,24/10/2021,Head-on collision,1958.0,Severe
A40532,C26942,22/07/2024,Fender scratch from curb,673.0,Severe
A40549,C26952,02/06/2021,Scratched paint on rear bumper,4801.0,Severe
A40564,C26962,13/08/2022,Collision with pole,1614.0,Minor
A40565,C26962,25/07/2022,Fender scratch from curb,4896.0,Major
A40572,C26968,27/08/2021,Rear-end hit at traffic light,4971.0,Severe
A40573,C26969,16/09/2022,Rear quarter panel dent,4998.0,Severe
A40574,C26969,24/04/2025,Scratched paint on rear bumper,1053.0,Moderate
A40575,C26971,01/09/2023,Side panel scratch,2657.0,Minor
A40576,C26971,06/02/2024,Rear quarter panel dent,4924.0,Moderate
A40577,C26971,24/12/2023,Accident on slippery road,1531.0,Severe
A40583,C26977,21/12/2020,Minor fender bender,335.0,Minor
A40584,C26979,02/11/2021,Parking lot scrape,2721.0,Minor
A40585,C26979,08/02/2023,Minor parking lot accident,1637.0,Severe
A40588,C26981,01/10/2020,Side mirror broken,885.0,Moderate
A40590,C26983,30/07/2023,Door dent from tight parking,943.0,Moderate
A40591,C26983,06/10/2021,Side panel scratch,3736.0,Severe
A40592,C26983,14/02/2022,Windshield damage,1788.0,Major
A40596,C26986,05/01/2022,Door dent from tight parking,3710.0,Minor
A40597,C26986,12/06/2023,Tire puncture during accident,2772.0,Major
A40599,C26989,08/06/2024,Rear-end hit at traffic light,1782.0,Minor
A40600,C26989,19/01/2023,Minor collision at roundabout,536.0,Moderate
A40601,C26989,12/09/2023,Front bumper scrape,934.0,Major
A40604,C26993,04/07/2025,Front bumper scrape,1589.0,Moderate
A40606,C26995,12/03/2021,Head-on collision,3024.0,Moderate
A40607,C26995,15/06/2025,Minor fender bender,2598.0,Minor
A40615,C27001,23/04/2023,Minor collision at roundabout,2504.0,Major
A40616,C27001,13/12/2020,Fender scratch from curb,1964.0,Severe
A40621,C27007,31/12/2020,Fender scratch from curb,4264.0,Minor
A40622,C27007,07/10/2023,Rear-end hit at traffic light,2463.0,Severe
A40623,C27007,25/11/2022,Scratched paint on rear bumper,1647.0,Minor
A40635,C27017,26/12/2024,Fender scratch from curb,599.0,Major
A40636,C27017,19/05/2022,Hood dent from minor crash,3240.0,Severe
A40637,C27018,09/08/2021,Front-end collision,524.0,Severe
A40638,C27018,03/04/2025,Door dent from tight parking,3515.0,Minor
A40642,C27020,25/01/2023,Door dent from tight parking,3733.0,Moderate
A40643,C27020,03/04/2021,Rear-end hit at traffic light,4870.0,Major
A40649,C27024,21/11/2020,Scratched paint on rear bumper,2154.0,Minor
A40650,C27024,19/11/2021,Side mirror broken,4730.0,Moderate
A40651,C27025,11/03/2025,Side mirror broken,4304.0,Major
A40658,C27030,27/09/2020,Minor fender bender,3063.0,Moderate
A40659,C27030,14/06/2025,Fender scratch from curb,4720.0,Major
A40660,C27031,08/04/2021,Fender scratch from curb,1225.0,Severe
A40670,C27037,23/05/2025,Scratched paint on rear bumper,4013.0,Moderate
A40703,C27060,13/12/2020,Door dent from tight parking,2364.0,Minor
A40704,C27061,19/12/2021,Side swipe from passing vehicle,3127.0,Moderate
A40705,C27061,04/09/2021,Hood dent from minor crash,1622.0,Major
A40706,C27062,27/08/2021,Windshield damage,4788.0,Severe
A40707,C27062,17/09/2024,Rear-end hit at traffic light,3093.0,Severe
A40708,C27063,19/04/2024,Collision with pole,1846.0,Major
A40709,C27063,29/12/2021,Damage from pothole incident,928.0,Minor
A40710,C27064,09/12/2022,Minor fender bender,1992.0,Minor
A40711,C27064,06/08/2021,Hood dent from minor crash,4277.0,Minor
A40719,C27071,03/12/2022,Tire puncture during accident,1854.0,Major
A40720,C27071,10/05/2024,Door dent from tight parking,3217.0,Severe
A40723,C27073,30/01/2021,Scratched paint on rear bumper,2429.0,Minor
A40724,C27073,19/10/2023,Head-on collision,2271.0,Moderate
A40725,C27073,27/07/2024,Rear-end hit at traffic light,1497.0,Severe
A40744,C27085,18/08/2024,Hood dent from minor crash,2104.0,Severe
A40745,C27085,01/10/2023,Parking lot scrape,3731.0,Severe
A40746,C27085,30/11/2024,Side swipe from passing vehicle,2061.0,Severe
A40748,C27088,03/11/2020,Windshield damage,4237.0,Severe
A40749,C27088,12/12/2023,Side mirror broken,3155.0,Major
A40750,C27088,29/10/2020,Minor parking lot accident,1987.0,Major
A40751,C27090,17/02/2021,Parking lot scrape,708.0,Severe
A40752,C27090,20/01/2023,Minor parking lot accident,2990.0,Severe
A40753,C27090,27/02/2024,Front-end collision,4194.0,Moderate
A40754,C27091,16/12/2021,Side swipe from passing vehicle,1278.0,Severe
A40755,C27092,29/05/2025,Rear-end hit at traffic light,1193.0,Moderate
A40756,C27092,11/11/2024,Parking lot scrape,761.0,Moderate
A40757,C27092,31/10/2024,Rear bumper collision,620.0,Severe
A40758,C27093,16/09/2023,Side panel scratch,3923.0,Major
A40759,C27094,20/01/2024,Scratched paint on rear bumper,3744.0,Major
A40763,C27096,22/02/2021,Door dent from tight parking,624.0,Moderate
A40764,C27096,09/11/2021,Side panel scratch,1669.0,Minor
A40766,C27099,03/03/2021,Minor fender bender,4167.0,Moderate
A40767,C27099,17/04/2021,Hood dent from minor crash,4574.0,Minor
A40768,C27099,07/04/2023,Head-on collision,4956.0,Severe
A40772,C27102,05/10/2022,Front-end collision,1380.0,Severe
A40780,C27109,01/09/2021,Minor collision at roundabout,2931.0,Major
A40781,C27109,27/02/2024,Head-on collision,161.0,Severe
A40799,C27122,01/07/2024,Hood dent from minor crash,2360.0,Major
A40800,C27124,01/12/2021,Door dent from tight parking,1625.0,Severe
A40814,C27133,26/02/2024,Damage from pothole incident,4282.0,Major
A40815,C27133,07/06/2022,Minor parking lot accident,1914.0,Moderate
A40816,C27133,20/09/2023,Accident on slippery road,1832.0,Severe
A40820,C27136,05/05/2023,Rear-end hit at traffic light,774.0,Severe
A40821,C27136,09/09/2024,Parking lot scrape,2865.0,Minor
A40833,C27146,16/02/2025,Front bumper scrape,448.0,Severe
A40834,C27146,23/08/2021,Side swipe from passing vehicle,160.0,Moderate
A40839,C27149,16/03/2021,Rear bumper collision,2994.0,Moderate
A40843,C27153,19/07/2023,Accident on slippery road,3285.0,Severe
A40844,C27153,14/01/2022,Parking lot scrape,2460.0,Moderate
A40845,C27153,28/07/2023,Minor collision at roundabout,367.0,Moderate
A40847,C27155,29/01/2024,Minor parking lot accident,553.0,Minor
A40848,C27155,13/06/2021,Hood dent from minor crash,4598.0,Minor
A40852,C27157,08/01/2021,Parking lot scrape,4357.0,Major
A40855,C27160,12/10/2020,Fender scratch from curb,1237.0,Severe
A40858,C27164,01/01/2023,Rear quarter panel dent,4988.0,Moderate
A40862,C27167,27/04/2021,Side panel scratch,1609.0,Major
A40863,C27167,17/07/2023,Side swipe from passing vehicle,618.0,Minor
A40869,C27174,31/07/2024,Rear bumper collision,1054.0,Minor
A40870,C27174,11/12/2024,Hood dent from minor crash,2278.0,Minor
A40874,C27176,15/07/2021,Minor collision at roundabout,241.0,Minor
A40875,C27176,15/06/2025,Head-on collision,1576.0,Moderate
A40888,C27184,19/08/2025,Side mirror broken,940.0,Severe
A40889,C27185,13/08/2025,Side mirror broken,1749.0,Severe
A40890,C27185,31/05/2021,Hood dent from minor crash,3798.0,Minor
A40893,C27188,01/12/2024,Hood dent from minor crash,2650.0,Major
A40897,C27190,15/03/2022,Side mirror broken,1245.0,Moderate
A40898,C27190,23/02/2025,Side mirror broken,2588.0,Severe
A40899,C27190,08/07/2024,Side panel scratch,4956.0,Severe
A40902,C27192,02/07/2022,Rear bumper collision,4024.0,Moderate
A40903,C27192,15/06/2025,Hood dent from minor crash,571.0,Minor
A40904,C27194,20/11/2020,Front-end collision,4671.0,Major
A40905,C27194,28/01/2024,Side swipe from passing vehicle,3022.0,Severe
A40921,C27205,14/09/2021,Collision with pole,479.0,Moderate
A40922,C27205,12/05/2024,Side swipe from passing vehicle,311.0,Severe
A40923,C27206,04/06/2024,Minor parking lot accident,904.0,Minor
A40932,C27212,06/08/2023,Collision with pole,1138.0,Severe
A40943,C27219,21/02/2022,Minor parking lot accident,1816.0,Major
A40944,C27219,18/04/2025,Rear bumper collision,3639.0,Major
A40955,C27225,29/09/2021,Minor fender bender,918.0,Moderate
A40956,C27225,22/08/2025,Damage from pothole incident,613.0,Severe
A40968,C27238,05/05/2025,Collision with pole,1125.0,Severe
A40969,C27238,31/12/2024,Rear bumper collision,194.0,Minor
A40970,C27239,11/02/2023,Fender scratch from curb,3760.0,Severe
A40971,C27239,22/10/2020,Front-end collision,2745.0,Moderate
A40972,C27240,26/05/2025,Fender scratch from curb,503.0,Minor
A40973,C27240,11/03/2024,Rear quarter panel dent,3035.0,Major
A40974,C27240,05/12/2020,Damage from pothole incident,4164.0,Major
A40981,C27244,10/11/2024,Minor parking lot accident,4757.0,Moderate
A40990,C27253,29/05/2022,Collision with pole,2064.0,Major
A40992,C27255,18/02/2024,Scratched paint on rear bumper,3631.0,Severe
A40993,C27255,02/05/2023,Head-on collision,290.0,Moderate
A41014,C27268,08/12/2020,Accident on slippery road,1760.0,Severe
A41015,C27268,21/09/2023,Door dent from tight parking,1255.0,Minor
A41016,C27268,25/07/2022,Windshield damage,1609.0,Moderate
A41017,C27270,25/11/2020,Rear quarter panel dent,1870.0,Minor
A41018,C27271,09/11/2022,Windshield damage,1336.0,Minor
A41019,C27272,16/08/2024,Parking lot scrape,1445.0,Minor
A41020,C27272,17/03/2021,Tire puncture during accident,4438.0,Severe
A41021,C27272,27/01/2022,Collision with pole,2809.0,Moderate
A41039,C27283,18/12/2023,Hood dent from minor crash,2133.0,Minor
A41040,C27283,17/11/2020,Minor parking lot accident,1979.0,Moderate
A41049,C27291,07/04/2022,Side panel scratch,684.0,Moderate
A41050,C27293,15/10/2024,Side panel scratch,4222.0,Moderate
A41051,C27293,10/07/2023,Front bumper scrape,1032.0,Moderate
A41054,C27298,08/08/2021,Hood dent from minor crash,1711.0,Severe
A41061,C27306,25/08/2021,Rear-end hit at traffic light,940.0,Minor
A41065,C27309,20/06/2021,Parking lot scrape,4647.0,Minor
A41066,C27309,06/10/2024,Windshield damage,1282.0,Severe
A41067,C27309,09/07/2024,Collision with pole,107.0,Minor
A41069,C27311,17/02/2022,Accident on slippery road,820.0,Severe
A41070,C27311,23/04/2024,Side panel scratch,1679.0,Major
A41071,C27312,29/11/2024,Rear-end hit at traffic light,1606.0,Major
A41082,C27318,22/07/2023,Scratched paint on rear bumper,3042.0,Moderate
A41083,C27319,05/01/2022,Hood dent from minor crash,2373.0,Moderate
A41084,C27319,18/03/2021,Front bumper scrape,3924.0,Severe
A41085,C27319,16/04/2022,Collision with pole,4809.0,Moderate
A41096,C27326,31/10/2020,Minor parking lot accident,4326.0,Moderate
A41097,C27326,05/08/2025,Side swipe from passing vehicle,2916.0,Major
A41098,C27326,13/06/2021,Rear-end hit at traffic light,158.0,Minor
A41110,C27337,01/08/2024,Side panel scratch,4730.0,Major
A41111,C27337,24/11/2021,Head-on collision,447.0,Moderate
A41112,C27338,26/01/2022,Damage from pothole incident,2349.0,Major
A41113,C27338,03/04/2022,Damage from pothole incident,3968.0,Moderate
A41114,C27338,13/04/2021,Rear-end hit at traffic light,4001.0,Major
A41116,C27340,18/07/2023,Front bumper scrape,4942.0,Moderate
A41117,C27340,13/08/2021,Minor parking lot accident,3435.0,Severe
A41118,C27340,14/08/2025,Tire puncture during accident,2890.0,Moderate
A41120,C27344,17/10/2021,Parking lot scrape,3453.0,Major
A41121,C27345,04/03/2025,Front-end collision,2976.0,Severe
A41122,C27345,22/06/2024,Tire puncture during accident,723.0,Major
A41124,C27347,20/08/2021,Tire puncture during accident,4925.0,Minor
A41125,C27347,06/12/2020,Parking lot scrape,349.0,Minor
A41126,C27347,15/11/2020,Side swipe from passing vehicle,1846.0,Moderate
A41131,C27350,13/01/2022,Windshield damage,422.0,Moderate
A41132,C27350,19/08/2023,Damage from pothole incident,2019.0,Minor
A41141,C27358,05/10/2022,Rear quarter panel dent,3539.0,Moderate
A41142,C27360,13/07/2024,Front-end collision,3074.0,Moderate
A41150,C27367,11/04/2022,Front bumper scrape,3872.0,Moderate
A41151,C27367,16/09/2020,Rear bumper collision,2714.0,Moderate
A41152,C27367,05/08/2024,Rear-end hit at traffic light,2310.0,Severe
A41158,C27374,23/05/2023,Parking lot scrape,3346.0,Moderate
A41162,C27378,21/08/2023,Head-on collision,3583.0,Severe
A41163,C27378,03/11/2023,Side panel scratch,1784.0,Major
A41164,C27378,11/02/2024,Collision with pole,1330.0,Major
A41187,C27391,10/01/2025,Side mirror broken,4975.0,Minor
A41188,C27392,27/11/2024,Fender scratch from curb,3953.0,Minor
A41189,C27392,18/06/2025,Side mirror broken,4182.0,Major
A41190,C27394,09/06/2023,Door dent from tight parking,4082.0,Moderate
A41191,C27394,22/07/2021,Accident on slippery road,961.0,Major
A41192,C27394,24/03/2022,Damage from pothole incident,732.0,Severe
A41195,C27396,19/01/2024,Side swipe from passing vehicle,841.0,Moderate
A41196,C27396,24/12/2020,Rear bumper collision,4835.0,Moderate
A41197,C27396,07/06/2022,Scratched paint on rear bumper,3791.0,Moderate
A41205,C27401,26/05/2025,Side swipe from passing vehicle,3410.0,Minor
A41206,C27401,30/08/2025,Minor fender bender,4165.0,Severe
A41207,C27403,17/05/2024,Rear-end hit at traffic light,2229.0,Minor
A41210,C27405,08/07/2022,Rear-end hit at traffic light,1828.0,Severe
A41211,C27405,11/03/2024,Collision with pole,3352.0,Severe
A41226,C27416,30/05/2021,Door dent from tight parking,2756.0,Minor
A41237,C27422,24/10/2020,Minor parking lot accident,1368.0,Minor
A41241,C27424,27/09/2024,Door dent from tight parking,2833.0,Major
A41242,C27424,22/03/2024,Side swipe from passing vehicle,4614.0,Severe
A41257,C27435,31/10/2022,Side mirror broken,4117.0,Minor
A41258,C27435,07/08/2025,Side panel scratch,4146.0,Moderate
A41259,C27437,31/03/2022,Accident on slippery road,4307.0,Severe
A41260,C27437,26/09/2023,Hood dent from minor crash,3771.0,Minor
A41263,C27441,22/06/2022,Windshield damage,2993.0,Moderate
A41264,C27441,29/06/2021,Rear quarter panel dent,205.0,Major
A41265,C27442,05/12/2021,Windshield damage,3441.0,Minor
A41266,C27442,30/04/2024,Front-end collision,1112.0,Minor
A41267,C27444,22/11/2023,Hood dent from minor crash,2588.0,Minor
A41268,C27444,27/09/2021,Windshield damage,495.0,Moderate
A41269,C27444,23/11/2020,Scratched paint on rear bumper,4028.0,Severe
A41278,C27450,21/10/2021,Minor fender bender,3785.0,Moderate
A41279,C27450,19/06/2025,Fender scratch from curb,1227.0,Moderate
A41280,C27451,23/01/2024,Side mirror broken,2965.0,Minor
A41281,C27452,19/02/2022,Hood dent from minor crash,2870.0,Moderate
A41300,C27462,22/10/2023,Minor fender bender,1426.0,Moderate
A41301,C27462,31/03/2022,Head-on collision,2125.0,Minor
A41302,C27462,02/05/2024,Tire puncture during accident,1886.0,Moderate
A41314,C27472,08/11/2020,Hood dent from minor crash,705.0,Major
A41315,C27472,27/10/2024,Rear-end hit at traffic light,855.0,Moderate
A41316,C27472,04/01/2022,Door dent from tight parking,3719.0,Major
A41317,C27474,27/09/2020,Minor fender bender,4674.0,Moderate
A41318,C27474,02/09/2020,Front-end collision,2903.0,Moderate
A41339,C27489,13/10/2023,Damage from pothole incident,446.0,Moderate
A41340,C27489,25/06/2022,Parking lot scrape,1151.0,Major
A41341,C27489,08/03/2022,Door dent from tight parking,2370.0,Major
A41352,C27496,07/05/2022,Rear bumper collision,3608.0,Minor
A41356,C27498,16/02/2025,Front-end collision,2174.0,Minor
A41360,C27502,20/06/2022,Rear quarter panel dent,2204.0,Moderate
A41361,C27503,01/02/2023,Collision with pole,3014.0,Moderate
A41362,C27503,29/07/2021,Windshield damage,4565.0,Minor
A41369,C27513,05/05/2022,Damage from pothole incident,4703.0,Major
A41370,C27513,29/06/2023,Parking lot scrape,4919.0,Major
A41371,C27513,09/03/2025,Side swipe from passing vehicle,1157.0,Moderate
A41374,C27516,24/02/2021,Minor fender bender,2767.0,Severe
A41375,C27516,14/03/2024,Scratched paint on rear bumper,4364.0,Severe
A41376,C27516,04/07/2021,Damage from pothole incident,3544.0,Minor
A41383,C27521,19/12/2023,Damage from pothole incident,1718.0,Severe
A41384,C27521,28/10/2023,Tire puncture during accident,260.0,Severe
